,mcg,gvh,lip,chg,aac,alm1,alm2,class
0,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
1,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp
2,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
3,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
4,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
5,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
6,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
7,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
8,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
9,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
10,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
11,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
12,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
13,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
14,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp
15,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
16,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
17,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
18,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
19,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
20,0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp
21,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
22,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
23,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp
24,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
25,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
26,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
27,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp
28,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
29,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
30,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
31,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
32,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
33,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
34,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
35,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
36,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
37,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp
38,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
39,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
40,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
41,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
42,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
43,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
44,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
45,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
46,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
47,0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp
48,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
